Date,Product_Name,Quantity,Unit_Price,Store_Location,Payment_Type,Promotion_Applied,Weather,Temperature,Staff_Performance_Rating,Customer_Feedback,Delivery_Time_min,Order_Type,Customer_Name,Customer_Address,Customer_PhoneNumber,Customer_Email,Staff_Name,Staff_Email,Day_Of_Week,Total_Sales
2023-01-01 00:00:00,Vanilla Cake,2,12.5323041494298,South,Cash,True,Rainy,20.6549139306951,Poor,Neutral,30,In Store,William Adams,"9851 David Green
Tonyaburgh, VA 02853",(916)427-7276x861,lisa00@example.net,John Bridges,pdavidson@example.com,Sunday,25.0646082988596
2023-01-01 01:00:00,Red Velvet Cake,1,7.08306989594775,South,Cash,False,Rainy,23.5494969720501,Average,Positive,33,In Store,Anthony Wiggins,"24682 Holly Stravenue
Mooreville, NH 13901",769.318.4373,michellefernandez@example.com,Sarah Bentley,ajohnson@example.net,Sunday,7.08306989594775
2023-01-01 02:00:00,Chocolate Cake,5,6.73606410018058,North,Cash,True,Rainy,27.15434218268169,Excellent,Unknown,43,Phone Order,Ashley Duke,"10184 Washington Trace Apt. 679
East Brandistad, OR 87389",702.520.3286,cooperwilliam@example.com,Connie Cervantes,michele29@example.net,Sunday,33.6803205009029
2023-01-01 03:00:00,Carrot Cake,2,7.31482347924619,North,Cash,False,Cloudy,20.1374832527572,Poor,Positive,32,Online Order,Brandon Taylor,"87194 Jeff Rue
Mitchellbury, CA 50463",622-527-9530,fsilva@example.net,Jessica Stewart,xwilson@example.org,Sunday,14.6296469584923
2023-01-01 04:00:00,Pizza Pepperoni,1,7.57772721990641,East,Credit Card,True,Cloudy,23.0209865419083,Good,Neutral,58,In Store,Brittany Watkins,"850 Julia Groves
Hartview, WI 95954",759-517-8359,petersjoseph@example.net,Cheryl Carpenter,christine96@example.org,Sunday,7.57772721990641
2023-01-01 05:00:00,Red Velvet Cake,2,14.5681563899545,West,Cash,True,Rainy,27.15434218268169,Poor,Neutral,30,Phone Order,Curtis Cummings,"25468 Eric Causeway Suite 343
East Steven, SC 48548",(647)294-0826,stephanie69@example.net,Jessica Coleman,sandra03@example.org,Sunday,29.136312779909
2023-01-01 06:00:00,Red Velvet Cake,3,16.1147187541186,North,Credit Card,False,Cloudy,29.2010276978325,Excellent,Unknown,15,In Store,Haley Wilcox,"PSC 3319, Box 1711
APO AE 54478",001-345-422-5023,sharon86@example.net,Kelly Johnston,edwardsaaron@example.org,Sunday,48.344156262356
2023-01-01 07:00:00,Carrot Cake,5,12.9498728438962,West,Online,False,Sunny,27.15434218268169,Average,Positive,16,Online Order,Tara Martinez,"49488 Rachel Port
Anthonybury, FL 31446",267.413.3199x19807,Unknown,Rebecca George,michaelperez@example.org,Sunday,64.7493642194814
2023-01-01 08:00:00,Carrot Cake,4,17.4352659881823,East,Cash,True,Rainy,27.15434218268169,Poor,Neutral,29,Phone Order,Sarah Carter,"74613 Hensley Crossroad Suite 746
Port Kelly, NH 40035",(742)946-6553x159,anthony69@example.org,Sara Aguilar,nicholasmullins@example.org,Sunday,69.7410639527294
2023-01-01 09:00:00,Pizza Margherita,2,19.8689484010045,West,Credit Card,False,Rainy,20.4228701067083,Average,Neutral,53,In Store,Abigail Simon,"57371 Wilson Alley
Patriciaburgh, PA 36781",213.290.9906x79391,lawrence51@example.com,Michelle Pace,freemanjose@example.com,Sunday,39.737896802009
2023-01-01 10:00:00,Chocolate Cake,3,17.3001894367903,South,Online,False,Cloudy,27.15434218268169,Good,Neutral,42,In Store,Collin Ward,"52686 Becky Islands
Abigailfurt, NE 86929",391-479-3624,Unknown,Nicole Kane DDS,jlopez@example.net,Sunday,51.900568310371
2023-01-01 11:00:00,Carrot Cake,4,15.4232356051393,West,Online,False,Rainy,33.2222872938336,Poor,Positive,15,In Store,Laura Hughes,"054 Alyssa Mill
Lake Alexis, MT 13214",+1-981-260-7807,nicolaslopez@example.org,Edgar White,laura24@example.org,Sunday,61.6929424205575
2023-01-01 12:00:00,Pizza Beef Double decker,4,12.9873904915572,East,Online,True,Sunny,26.2387048144626,Poor,Positive,19,Online Order,Amber Warren,"77320 Kelly Turnpike
Wilsonside, MA 57592",932.415.9074x319,brittney37@example.net,Jacob Schroeder,bescobar@example.com,Sunday,51.9495619662288
2023-01-01 13:00:00,Cheesecake,2,11.7327960751206,East,Credit Card,False,Cloudy,30.8050005374898,Good,Negative,56,Phone Order,Amanda Ellis,"USNV Riley
FPO AA 14148",420-731-2185,steven36@example.net,Chad Patterson,byrderic@example.net,Sunday,23.4655921502412
2023-01-01 14:00:00,Pizza Pepperoni,1,6.26588570816813,East,Cash,False,Cloudy,33.7742755306993,Good,Positive,36,Phone Order,Samantha Reynolds,"PSC 9615, Box 1463
APO AP 20309",001-966-301-3601x51483,lindasosa@example.com,Donna Weiss,zreynolds@example.com,Sunday,6.26588570816813
2023-01-01 15:00:00,Chocolate Cake,2,10.9905312259203,West,Cash,True,Rainy,26.1206069240422,Good,Neutral,50,Phone Order,Nicole Torres,"496 Calderon Parkway Apt. 220
Port Joshua, HI 80224",547-514-7610x84867,davisjoy@example.net,Amy Lopez,matthewpotter@example.net,Sunday,21.9810624518407
